model_name,model_type,hardware,iteration,inference_time_sec,avg_time_sec,min_time_sec,max_time_sec,median_time_sec,stddev_time_sec
resnet,pytorch,CPU,87,9.7020,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,88,9.7648,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,89,9.7640,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,90,9.7751,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,91,9.7473,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,92,9.5723,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,93,9.6819,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,94,9.7925,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,95,9.5418,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,96,9.7638,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,97,9.8121,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,98,9.7617,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,99,9.8297,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,100,9.8302,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,GPU,1,3.4034,3.6090,3.3714,3.9764,3.5831,0.1371
resnet,pytorch,GPU,2,3.6896,3.6090,3.3714,3.9764,3.5831,0.1371
resnet,pytorch,GPU,3,3.4548,3.6090,3.3714,3.9764,3.5831,0.1371
resnet,pytorch,GPU,4,3.6029,3.6090,3.3714,3.9764,3.5831,0.1371
resnet,pytorch,GPU,5,3.6559,3.6090,3.3714,3.9764,3.5831,0.1371
resnet,pytorch,GPU,6,3.4741,3.6090,3.3714,3.9764,3.5831,0.1371
resnet,pytorch,GPU,7,3.6462,3.6090,3.3714,3.9764,3.5831,0.1371
