ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB
1745347352.599041,100.0,44266,0,0.0,4.0
1745347353.8231483,100.0,44453,0,0.0,4.0
1745347355.1230228,100.0,44520,0,0.0,4.0
1745347356.3609207,100.0,44537,0,0.0,4.0
1745347357.6390314,100.0,44551,0,0.0,4.0
1745347358.8550577,100.0,44363,0,0.0,4.0
1745347360.0753994,100.0,44602,0,0.0,4.0
1745347361.3190985,100.0,43491,0,0.0,4.0
1745347362.559665,100.0,43513,0,0.0,4.0
1745347363.7712066,100.0,44182,0,0.0,4.0
1745347365.0215664,100.0,44036,0,0.0,4.0
1745347366.215315,100.0,43811,0,0.0,4.0
1745347367.327599,80.2,39003,0,0.0,4.0
1745347368.3902123,64.6,38191,0,0.0,4.0
1745347369.4664233,69.9,33765,0,0.0,4.0
1745347370.7016976,74.3,29862,0,0.0,4.0
1745347371.7971675,62.2,24863,0,0.0,4.0
1745347372.86333,87.3,26921,0,0.0,4.0
1745347373.9322727,85.5,29040,0,0.0,4.0
1745347375.1694613,99.8,31030,0,0.0,4.0
1745347376.2830267,99.8,32579,0,0.0,4.0
1745347377.566572,100.0,34086,0,0.0,4.0
1745347378.8580585,100.0,34425,0,0.0,4.0
1745347380.0511384,100.0,34599,0,0.0,4.0
1745347381.2340887,100.0,34740,0,0.0,4.0
1745347382.387341,100.0,34786,0,0.0,4.0
1745347383.606231,100.0,34728,0,0.0,4.0
1745347384.7872112,100.0,35105,0,0.0,4.0
1745347386.0019908,100.0,34948,0,0.0,4.0
1745347387.2208216,100.0,35245,0,0.0,4.0
1745347388.390049,100.0,36313,0,0.0,4.0
1745347389.6110375,100.0,36500,0,0.0,4.0
1745347390.7883184,100.0,36646,0,0.0,4.0
1745347392.0109642,100.0,36895,0,0.0,4.0
1745347393.2071133,100.0,37565,0,0.0,4.0
1745347394.3850305,99.5,35930,0,0.0,4.0
1745347395.5095673,80.3,37512,0,0.0,4.0
1745347396.5831952,62.9,28830,0,0.0,4.0
1745347397.8023539,85.9,27776,0,0.0,4.0
1745347398.9866538,78.9,25792,0,0.0,4.0
1745347400.1497915,98.8,28695,0,0.0,4.0
1745347401.4755623,99.9,28942,0,0.0,4.0
1745347402.6460657,99.9,31638,0,0.0,4.0
1745347403.7060626,100.0,34324,0,0.0,4.0
1745347404.8401344,100.0,35463,0,0.0,4.0
1745347406.0752747,100.0,36114,0,0.0,4.0
1745347407.2710702,100.0,37577,0,0.0,4.0
1745347408.4741497,100.0,37777,0,0.0,4.0
1745347409.6390917,100.0,38204,0,0.0,4.0
1745347410.843612,100.0,36985,0,0.0,4.0
1745347412.0515149,100.0,37649,0,0.0,4.0
1745347413.3272152,100.0,38053,0,0.0,4.0
1745347414.5713315,100.0,38401,0,0.0,4.0
1745347415.8273072,100.0,38632,0,0.0,4.0
1745347417.0730975,100.0,38637,0,0.0,4.0
1745347418.273242,100.0,38610,0,0.0,4.0
1745347419.5181646,100.0,39560,0,0.0,4.0
1745347420.738805,100.0,39978,0,0.0,4.0
1745347421.9429054,100.0,40221,0,0.0,4.0
1745347423.1830084,100.0,40037,0,0.0,4.0
1745347424.3671846,100.0,40421,0,0.0,4.0
1745347425.6168885,97.4,34632,0,0.0,4.0
1745347426.7338915,99.5,35207,0,0.0,4.0
1745347427.896759,95.4,38482,0,0.0,4.0
1745347428.987971,92.8,32493,0,0.0,4.0
1745347430.1271887,97.6,33209,0,0.0,4.0
1745347431.360126,97.7,36229,0,0.0,4.0
1745347432.4501576,97.4,39060,0,0.0,4.0
1745347433.5632675,99.6,40998,0,0.0,4.0
1745347434.6988926,100.0,43557,0,0.0,4.0
1745347435.9269862,100.0,44819,0,0.0,4.0
1745347437.1432781,100.0,44897,0,0.0,4.0
1745347438.3353233,100.0,44659,0,0.0,4.0
1745347439.5300984,100.0,44767,0,0.0,4.0
1745347440.7632952,100.0,43883,0,0.0,4.0
1745347441.9741411,100.0,43895,0,0.0,4.0
1745347443.2765093,100.0,43892,0,0.0,4.0
1745347444.511117,100.0,43887,0,0.0,4.0
1745347445.790976,100.0,43897,0,0.0,4.0
1745347447.068978,100.0,43985,0,0.0,4.0
1745347448.3154361,100.0,43918,0,0.0,4.0
1745347449.6501644,100.0,43973,0,0.0,4.0
1745347450.9261117,100.0,44099,0,0.0,4.0
1745347452.139103,100.0,43951,0,0.0,4.0
1745347453.3700612,100.0,44127,0,0.0,4.0
1745347454.5751576,100.0,44161,0,0.0,4.0
1745347455.7457888,100.0,43608,0,0.0,4.0
1745347456.9140902,76.6,36765,0,0.0,4.0
1745347458.062588,81.7,41191,0,0.0,4.0
1745347459.1414611,34.9,31255,0,0.0,4.0
1745347460.1673803,95.3,35899,0,0.0,4.0
1745347461.283621,62.5,28001,0,0.0,4.0
1745347462.3838258,62.8,25104,0,0.0,4.0
1745347463.6022763,97.1,29375,0,0.0,4.0
1745347465.0726128,61.5,21377,0,0.0,4.0
1745347466.2456903,90.9,22419,0,0.0,4.0
1745347467.3234806,90.9,23085,0,0.0,4.0
1745347468.4056983,99.5,23345,0,0.0,4.0
1745347469.5348418,100.0,23625,0,0.0,4.0
1745347470.654138,100.0,23768,0,0.0,4.0
1745347471.9820755,100.0,23963,0,0.0,4.0
1745347473.1753268,100.0,23951,0,0.0,4.0
1745347474.379747,100.0,24473,0,0.0,4.0
1745347475.603533,100.0,24884,0,0.0,4.0
1745347476.6719277,100.0,25067,0,0.0,4.0
1745347477.810124,100.0,24753,0,0.0,4.0
1745347478.9901338,100.0,25266,0,0.0,4.0
1745347480.1690574,100.0,26537,0,0.0,4.0
1745347481.3753924,100.0,27578,0,0.0,4.0
1745347482.5257077,100.0,28528,0,0.0,4.0
1745347483.618548,100.0,31176,0,0.0,4.0
1745347484.8743432,88.6,31357,0,0.0,4.0
1745347486.1174536,77.4,33434,0,0.0,4.0
1745347487.175289,85.6,35479,0,0.0,4.0
1745347488.241686,89.1,37446,0,0.0,4.0
1745347489.2883914,99.2,38537,0,0.0,4.0
1745347490.4397604,99.9,38573,0,0.0,4.0
1745347491.6020198,100.0,39928,0,0.0,4.0
1745347492.794067,100.0,40863,0,0.0,4.0
1745347493.9991689,100.0,41334,0,0.0,4.0
1745347495.3230624,100.0,41319,0,0.0,4.0
1745347496.5536737,100.0,41326,0,0.0,4.0
1745347497.7669022,100.0,41331,0,0.0,4.0
1745347498.9871747,100.0,41398,0,0.0,4.0
1745347500.219062,100.0,41509,0,0.0,4.0
1745347501.4042294,100.0,41222,0,0.0,4.0
1745347502.594134,100.0,40277,0,0.0,4.0
1745347503.8075798,100.0,40627,0,0.0,4.0
1745347505.0061233,100.0,41479,0,0.0,4.0
1745347506.2189457,100.0,41721,0,0.0,4.0
1745347507.4821367,100.0,40799,0,0.0,4.0
1745347508.6923516,100.0,39072,0,0.0,4.0
1745347509.9019165,100.0,41676,0,0.0,4.0
1745347511.0437384,73.1,35947,0,0.0,4.0
1745347512.1267617,63.7,33921,0,0.0,4.0
1745347513.1545465,58.4,30453,0,0.0,4.0
1745347514.3126857,74.1,26971,0,0.0,4.0
1745347515.3867326,99.7,33974,0,0.0,4.0
1745347516.5929284,81.9,31180,0,0.0,4.0
1745347517.6438017,95.7,32587,0,0.0,4.0
1745347518.6996279,97.4,33360,0,0.0,4.0
1745347519.8708525,98.3,33166,0,0.0,4.0
1745347520.9285557,99.9,34278,0,0.0,4.0
1745347522.2114606,100.0,34893,0,0.0,4.0
1745347523.392157,100.0,35078,0,0.0,4.0
1745347524.5470965,100.0,35415,0,0.0,4.0
1745347525.7232332,100.0,35469,0,0.0,4.0
1745347526.961317,100.0,35734,0,0.0,4.0
1745347528.1338675,100.0,35665,0,0.0,4.0
1745347529.2523437,100.0,36025,0,0.0,4.0
1745347530.4442787,100.0,35588,0,0.0,4.0
1745347531.6961827,100.0,35249,0,0.0,4.0
1745347533.0446246,100.0,35619,0,0.0,4.0
1745347534.2821465,100.0,37285,0,0.0,4.0
